question_id,game_id,question
338804,82739,white in its back?
339093,82808,in the middle?
340210,83044,the second shelf?
342017,83458,is it somewhat light blue color?
345051,84151,IS IT IN THE FIRST ROW?
348947,85002,Guy in red?
350010,85250,the orange under and right of that one?
351793,85652,is it on the left?
356076,86572,Is it the one on the left?
364060,88242,Is it the one with the little antenna under the Apple logo?
375680,90838,Is it on the left side?
380343,91810,is it in the middle?
387008,93203,near the bottom?
390713,94021,is at the bottom?
393247,94646,is it on the right side?
397087,95477,is he on the right?
400644,96205,is it the one on the right?
403683,96825,are they on the left?
406056,97304,The bottom right corner?
407411,97601,Is it on the left side?
411714,98519,in the middle?
416335,99479,is it in middle?
51352,15377,is it on the left?
418217,99834,Is it to the right side?
420368,100264,at right?
421238,100465,Is it in the middle?
421937,100608,on the right?
433380,103264,is it the girl in red?
441655,105237,Is it to the right?
10171,3813,Is it small?
442964,105523,Is it to the right side?
443165,105558,second ??
445275,105985,is it in the middle?
448004,106543,is it on the right?
56342,16797,is it left end zebra?
450541,107009,Is it the two on the right?
451554,107221,IT IN RIGHT SIDE?
452760,107494,is it on the left?
469116,111355,Is it on the left side?
485129,114814,on left ?
487174,115323,Is it the next one to its left?
489374,115847,one of last 2?
495058,117177,towards the left side?
496147,117447,is it one just left of it?
503507,119152,next on towards right?
504366,119365,in the middle?
512609,121478,one with two cups colored drinks?
514478,121945,on the right side?
568325,134023,the stack next to it to the right?
568345,134023,the blue one?
517754,122705,is it on the right?
519193,123057,Is it the one on the left?
519909,123221,is it on the left?
524038,124118,is it in middle?
525181,124388,Is it the boat on the left?
529014,125266,the person on the left?
68688,21018,to the right?
546708,129189,is it the man in the middle?
547296,129324,is it middle one?
550411,130060,is it the one left of that one?
70443,21430,is it on the left side?
569931,134380,is it the one at the top?
572338,134853,is it in the middle?
573330,135048,is in left?
577504,135833,right side?
585626,137501,Is it on the left?
12159,4323,is it a small car?
588136,137982,Is it on the left?
590240,138387,on the left side?
596961,139722,middle cream / light yellow one?
597371,139801,first from us?
606067,141563,are their two legs propped on it?
613497,143060,Is it the farthest bunch to the right in the picture?
614048,143174,Is it in the foreground?
617218,143788,is it the one right behind the cat?
625591,145380,third ??
633382,146944,the first one?
639367,148220,one of the 2 standing on the left lamp?
643162,148987,do they have a long beak?
663978,153263,is it first book?
668430,154241,in the right side of the picture?
673705,155383,is the color white?
681488,156956,is it 2nd?
88057,26043,to the left?
718362,164468,is it dark green?
719768,164702,Is it one of the 2 just to the right of those last 3?
729227,166635,2nd one?
747763,170436,left side?
747834,170436,3rd one?
748100,170436,fried side of the red car?
764083,173586,second ??
764564,173677,on the right?
771651,175211,it is red?
96198,28045,is it near?
96548,28123,is it on the right?
796208,180163,is it in the foreground?
98218,28536,2nd sheep in the left side of the picture?
804598,181918,First bottle counting from the bottom of the 2 silver bottles?
806520,182287,Is it the second one from the bottom and the first one on the right?
823525,185654,are they on the left side?
101695,29424,is it in the front row?
828963,186719,Is it the one to the left at its back?
102394,29542,is it on the right?
832793,187480,is it brown?
102503,29565,is it gray?
835100,187893,Is it more to the middle of the three?
836870,188228,is htat the one who is looking right?
837502,188345,is in front?
842936,189368,on the middle then?
861056,192977,Is it the single one on the bottom of the pole that is closer to us?
889126,198668,the guy in blue and green?
889312,198710,is it the second car?
108711,30823,is it the one on the left?
895850,200021,the one on the right that has a little red left in it?
909812,202729,i in back?
914766,203695,the black car in front?
917105,204138,the second pile just after?
917567,204228,is it on left side?
939362,208727,3rd one?
952601,211221,Is it the first through fourth?
953883,211514,bottom right side 1st one?
983675,217059,is it the 3rd kid from the right tie?
993733,218893,Is it the third from the left?
995861,219291,most first?
119914,33030,is it the one on the left?
121258,33352,below tat blue jacket guy?
1010516,222040,"one next to it, just see it's face?"
121612,33442,is it the one in the middle?
1014497,222800,Is it on the right?
